Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
Austria,14.550072,47.516231,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,40272.049
Austria,14.550072,47.516231,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,35566.06
Austria,14.550072,47.516231,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,327.08
Austria,14.550072,47.516231,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,11.91
Austria,14.550072,47.516231,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,8.04
Austria,14.550072,47.516231,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,56.64
Belgium,4.469936,50.503887,Europe,EU,Argentina,-63.616672,-38.416097,South America,1000 US$,116.88
Belgium,4.469936,50.503887,Europe,EU,Australia,133.775136,-25.274398,Oceania,1000 US$,5.1
Belgium,4.469936,50.503887,Europe,EU,Bangladesh,90.356331,23.684994,Asia,1000 US$,4.18
Belgium,4.469936,50.503887,Europe,EU,Canada,-106.346771,56.130366,North America,1000 US$,32.27
Belgium,4.469936,50.503887,Europe,EU,China_Hong Kong SAR,114.109497,22.396428,Asia,1000 US$,22.1
Belgium,4.469936,50.503887,Europe,EU,China_Taiwan Province of,120.960515,23.69781,Asia,1000 US$,269.9
Belgium,4.469936,50.503887,Europe,EU,Colombia,-74.297333,4.570868,South America,1000 US$,11.25
Belgium,4.469936,50.503887,Europe,EU,Congo,15.827659,-0.228021,Africa,1000 US$,19154.181
Belgium,4.469936,50.503887,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,1.62
Belgium,4.469936,50.503887,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,4638.791
Belgium,4.469936,50.503887,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,1669.975
Belgium,4.469936,50.503887,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,7793.193
Belgium,4.469936,50.503887,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,79.31
Belgium,4.469936,50.503887,Europe,EU,Lebanon,35.862285,33.854721,Asia,1000 US$,3316.217
Belgium,4.469936,50.503887,Europe,EU,Malawi,34.301525,-13.254308,Africa,1000 US$,55.62
Belgium,4.469936,50.503887,Europe,EU,Mauritius,57.552152,-20.348404,Africa,1000 US$,77.241
Belgium,4.469936,50.503887,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,8.35
Belgium,4.469936,50.503887,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,2518.377
Belgium,4.469936,50.503887,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,7457.708
Belgium,4.469936,50.503887,Europe,EU,Senegal,-14.452362,14.497401,Africa,1000 US$,6151.152
Belgium,4.469936,50.503887,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,60.55
Belgium,4.469936,50.503887,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,705.527
Belgium,4.469936,50.503887,Europe,EU,Suriname,-56.027783,3.919305,South America,1000 US$,50.82
