Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected,Ratios,Total_Export
EU,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,45099.92,35.98085996753404,125344.197
USA,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,80244.277,64.01914003246597,125344.197
EU,Australia,133.775136,-25.274398,Oceania,1000 US$,302.61,51.38301665732769,588.9300000000001
USA,Australia,133.775136,-25.274398,Oceania,1000 US$,286.32,48.6169833426723,588.9300000000001
USA,Austria,14.550072,47.516231,Europe,1000 US$,9528.481,100.0,9528.481
USA,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,52418.98,29.46201582067969,177920.548
EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,125501.568,70.53798417932032,177920.548
USA,Belgium,4.469936,50.503887,Europe,1000 US$,23554.694,100.0,23554.694
USA,Brazil,-51.92528,-14.235004,South America,1000 US$,468468.992,75.8306169998533,617783.437
EU,Brazil,-51.92528,-14.235004,South America,1000 US$,149314.445,24.1693830001467,617783.437
EU,Canada,-106.34677099999999,56.130366,North America,1000 US$,44224.968,100.0,44224.968
USA,Chile,-71.542969,-35.675146999999996,South America,1000 US$,78388.576,74.95504217404513,104580.791
EU,Chile,-71.542969,-35.675146999999996,South America,1000 US$,26192.215,25.044957825954864,104580.791
USA,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,32242.158,73.54392769455218,43840.68
EU,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,11598.521999999999,26.456072305447815,43840.68
EU,China_Taiwan Province of,120.96051499999999,23.69781,Asia,1000 US$,44900.409999999996,24.255653987233863,185113.17
USA,China_Taiwan Province of,120.96051499999999,23.69781,Asia,1000 US$,140212.76,75.74434601276613,185113.17
EU,China_mainland,116.38333100000001,39.916668,Asia,1000 US$,206336.19100000002,27.379963389046207,753602.874
USA,China_mainland,116.38333100000001,39.916668,Asia,1000 US$,547266.683,72.62003661095379,753602.874
USA,Colombia,-74.297333,4.570868,South America,1000 US$,147543.466,79.03833339294728,186673.30099999998
EU,Colombia,-74.297333,4.570868,South America,1000 US$,39129.835,20.961666607052717,186673.30099999998
EU,Congo,15.827658999999999,-0.228021,Africa,1000 US$,50912.353,99.33500715458004,51253.183000000005
USA,Congo,15.827658999999999,-0.228021,Africa,1000 US$,340.83,0.6649928454199615,51253.183000000005
USA,Denmark,9.501785,56.26392,Europe,1000 US$,2115.069,100.0,2115.069
USA,Finland,25.748151,61.92411,Europe,1000 US$,4689.342000000001,100.0,4689.342000000001
USA,Germany,10.451526,51.165690999999995,Europe,1000 US$,9833.876,100.0,9833.876
USA,Indonesia,113.921327,-0.789275,Asia,1000 US$,338913.278,62.426715123470444,542897.824
EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,203984.54600000003,37.57328487652955,542897.824
EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,500988.445,95.50751457016467,524553.955
USA,Iran,53.68804599999999,32.427908,Asia,1000 US$,23565.51,4.492485429835336,524553.955
USA,Iraq,43.679291,33.223191,Asia,1000 US$,2427.4,1.379674442188001,175940.05699999994
EU,Iraq,43.679291,33.223191,Asia,1000 US$,173512.65699999995,98.62032555781201,175940.05699999994
USA,Italy,12.56738,41.87194,Europe,1000 US$,137655.009,100.0,137655.009
EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,119833.99499999998,99.6894199509539,120207.33499999998
USA,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,373.34,0.310580049046092,120207.33499999998
USA,Kenya,37.906193,-0.023559,Africa,1000 US$,5223.75,9.565697466567485,54609.191000000006
EU,Kenya,37.906193,-0.023559,Africa,1000 US$,49385.441000000006,90.43430253343251,54609.191000000006
USA,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,18088.409,12.439115266888324,145415.559
EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,127327.15000000001,87.56088473311166,145415.559
USA,Malawi,34.301525,-13.254307999999998,Africa,1000 US$,403.91,12.813940104958135,3152.1139999999996
EU,Malawi,34.301525,-13.254307999999998,Africa,1000 US$,2748.2039999999997,87.18605989504186,3152.1139999999996
USA,Mauritius,57.552152,-20.348404000000002,Africa,1000 US$,255.06,0.8722892123344008,29240.301999999996
EU,Mauritius,57.552152,-20.348404000000002,Africa,1000 US$,28985.241999999995,99.12771078766559,29240.301999999996
EU,Mexico,-102.552784,23.634501,North America,1000 US$,74201.107,100.0,74201.107
USA,Morocco,-7.09262,31.791702,Africa,1000 US$,12830.153,2.3003450650363355,557749.061
EU,Morocco,-7.09262,31.791702,Africa,1000 US$,544918.9079999999,97.69965493496366,557749.061
USA,Mozambique,35.529562,-18.665695,Africa,1000 US$,67.55,4.448351706244155,1518.54
EU,Mozambique,35.529562,-18.665695,Africa,1000 US$,1450.99,95.55164829375585,1518.54
USA,Netherlands,5.291266,52.132633,Europe,1000 US$,141998.19,100.0,141998.19
USA,Paraguay,-58.44383199999999,-23.442503,South America,1000 US$,1577.98,46.687345852880334,3379.888
EU,Paraguay,-58.44383199999999,-23.442503,South America,1000 US$,1801.908,53.312654147119666,3379.888
USA,Peru,-75.015152,-9.189967,South America,1000 US$,168466.66,85.63350938238229,196729.833
EU,Peru,-75.015152,-9.189967,South America,1000 US$,28263.173,14.366490617617714,196729.833
USA,Poland,19.145135999999997,51.919438,Europe,1000 US$,6204.12,100.0,6204.12
USA,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,29465.053,4.497468310725856,655147.5399999999
EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,625682.487,95.50253168927415,655147.5399999999
EU,Senegal,-14.452361999999999,14.497401000000002,Africa,1000 US$,46707.425,97.63764902921902,47837.515
USA,Senegal,-14.452361999999999,14.497401000000002,Africa,1000 US$,1130.09,2.362350970780986,47837.515
USA,Singapore,103.819836,1.352083,Asia,1000 US$,41978.7,68.10829690854364,61635.221999999994
EU,Singapore,103.819836,1.352083,Asia,1000 US$,19656.522,31.89170309145638,61635.221999999994
EU,South Africa,22.937506,-30.559482,Africa,1000 US$,132386.009,73.46954995200389,180191.66999999998
USA,South Africa,22.937506,-30.559482,Africa,1000 US$,47805.66099999999,26.530450047996116,180191.66999999998
USA,South Korea,127.766922,35.907757000000004,Asia,1000 US$,146623.18099999998,47.82736246795265,306567.566
EU,South Korea,127.766922,35.907757000000004,Asia,1000 US$,159944.38499999998,52.17263753204733,306567.566
USA,Suriname,-56.02778299999999,3.9193050000000005,South America,1000 US$,30468.107000000004,94.01813129036037,32406.629000000004
EU,Suriname,-56.02778299999999,3.9193050000000005,South America,1000 US$,1938.5220000000002,5.981868709639623,32406.629000000004
USA,Sweden,18.643501,60.128161,Europe,1000 US$,7334.151999999999,100.0,7334.151999999999
USA,Thailand,100.992541,15.870032,Asia,1000 US$,320713.372,52.76186264536234,607850.7390000001
EU,Thailand,100.992541,15.870032,Asia,1000 US$,287137.367,47.23813735463765,607850.7390000001
EU,Turkey,35.243322,38.963745,Asia,1000 US$,401673.30600000004,88.11374183708318,455857.73300000007
USA,Turkey,35.243322,38.963745,Asia,1000 US$,54184.427,11.886258162916805,455857.73300000007
EU,Uganda,32.290275,1.373333,Africa,1000 US$,49140.159,99.7302380880237,49273.079
USA,Uganda,32.290275,1.373333,Africa,1000 US$,132.92,0.26976191197631466,49273.079
USA,United Kingdom,-3.435973,55.378051,Europe,1000 US$,73107.662,100.0,73107.662
EU,United States of America,-95.712891,37.09024,North America,1000 US$,10816.775,100.0,10816.775
EU,Uruguay,-55.765834999999996,-32.522779,South America,1000 US$,5850.656000000001,91.86367514617247,6368.846000000001
USA,Uruguay,-55.765834999999996,-32.522779,South America,1000 US$,518.19,8.13632485382752,6368.846000000001
EU,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,59927.03999999999,57.248185578495544,104679.37
USA,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,44752.33,42.75181442150445,104679.37
