Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
China_mainland,116.383331,39.916668,Asia,1000 US$,753602.874
Saudi Arabia,45.079162,23.885942,Asia,1000 US$,655147.54
Brazil,-51.92528,-14.235004,South America,1000 US$,617783.437
Thailand,100.992541,15.870032,Asia,1000 US$,607850.739
Morocco,-7.09262,31.791702,Africa,1000 US$,557749.061
Indonesia,113.921327,-0.789275,Asia,1000 US$,542897.824
Iran,53.688046,32.427908,Asia,1000 US$,524553.955
Turkey,35.243322,38.963745,Asia,1000 US$,455857.733
South Korea,127.766922,35.907757,Asia,1000 US$,306567.566
Peru,-75.015152,-9.189967,South America,1000 US$,196729.833
Colombia,-74.297333,4.570868,South America,1000 US$,186673.301
China_Taiwan Province of,120.960515,23.69781,Asia,1000 US$,185113.17
South Africa,22.937506,-30.559482,Africa,1000 US$,180191.67
Bangladesh,90.356331,23.684994,Asia,1000 US$,177920.548
Iraq,43.679291,33.223191,Asia,1000 US$,175940.057
Lebanon,35.862285,33.854721,Asia,1000 US$,145415.559
Netherlands,5.291266,52.132633,Europe,1000 US$,141998.19
Italy,12.56738,41.87194,Europe,1000 US$,137655.009
Argentina,-63.616672,-38.416097,South America,1000 US$,125344.197
Ivory Coast,-5.54708,7.539989,Africa,1000 US$,120207.335
Vietnam,108.277199,14.058324,Asia,1000 US$,104679.37
Chile,-71.542969,-35.675147,South America,1000 US$,104580.791
Mexico,-102.552784,23.634501,North America,1000 US$,74201.107
United Kingdom,-3.435973,55.378051,Europe,1000 US$,73107.662
Singapore,103.819836,1.352083,Asia,1000 US$,61635.222
Kenya,37.906193,-0.023559,Africa,1000 US$,54609.191
Congo,15.827659,-0.228021,Africa,1000 US$,51253.183
Uganda,32.290275,1.373333,Africa,1000 US$,49273.079
Senegal,-14.452362,14.497401,Africa,1000 US$,47837.515
Canada,-106.346771,56.130366,North America,1000 US$,44224.968
China_Hong Kong SAR,114.109497,22.396428,Asia,1000 US$,43840.68
Suriname,-56.027783,3.919305,South America,1000 US$,32406.629
Mauritius,57.552152,-20.348404,Africa,1000 US$,29240.302
Belgium,4.469936,50.503887,Europe,1000 US$,23554.694
